,label,dice,prunning,cohort,subject_id
94,2034.0,0.7433962264150943,prune_10,ET,sub-4300
95,2035.0,0.8825038951516818,prune_10,ET,sub-4300
96,1010.0,0.8484568471631861,prune_10,ET,sub-4300
97,1013.0,0.7950623016794366,prune_10,ET,sub-4300
98,1011.0,0.7956803264147596,prune_10,ET,sub-4300
99,1014.0,0.8117177384548986,prune_10,ET,sub-4300
100,1012.0,0.8301959701904499,prune_10,ET,sub-4300
101,1017.0,0.8860921501706485,prune_10,ET,sub-4300
102,1009.0,0.8478239656518345,prune_10,ET,sub-4300
103,1019.0,0.8148239960337135,prune_10,ET,sub-4300
104,1020.0,0.6674698795180722,prune_10,ET,sub-4300
105,1021.0,0.6984402079722704,prune_10,ET,sub-4300
106,1022.0,0.7892241123821943,prune_10,ET,sub-4300
107,1023.0,0.8467701552328493,prune_10,ET,sub-4300
0,0.0,0.9979165186581386,prune_10,ET,sub-0081
1,1025.0,0.8743791837616066,prune_10,ET,sub-0081
2,2.0,0.9701615426416585,prune_10,ET,sub-0081
3,1024.0,0.8848110736999626,prune_10,ET,sub-0081
4,1028.0,0.8698928053621087,prune_10,ET,sub-0081
5,1029.0,0.8759970612930311,prune_10,ET,sub-0081
6,4.0,0.9383765589263366,prune_10,ET,sub-0081
7,7.0,0.8723249322383592,prune_10,ET,sub-0081
8,8.0,0.9229702404268609,prune_10,ET,sub-0081
9,1026.0,0.8260869565217391,prune_10,ET,sub-0081
10,10.0,0.951994210357028,prune_10,ET,sub-0081
11,11.0,0.8904682274247492,prune_10,ET,sub-0081
12,12.0,0.919402668926075,prune_10,ET,sub-0081
13,13.0,0.9019002375296912,prune_10,ET,sub-0081
14,14.0,0.9502307185234015,prune_10,ET,sub-0081
15,15.0,0.8775992438563327,prune_10,ET,sub-0081
16,16.0,0.9367556158600935,prune_10,ET,sub-0081
17,17.0,0.9092641454119027,prune_10,ET,sub-0081
18,18.0,0.8678800134816312,prune_10,ET,sub-0081
19,1035.0,0.9066720582288719,prune_10,ET,sub-0081
20,1018.0,0.8365416528377033,prune_10,ET,sub-0081
21,24.0,0.8896016205266711,prune_10,ET,sub-0081
22,26.0,0.7457446808510638,prune_10,ET,sub-0081
23,5.0,0.8307174887892377,prune_10,ET,sub-0081
24,28.0,0.8818509134551273,prune_10,ET,sub-0081
25,30.0,0.034482758620689655,prune_10,ET,sub-0081
26,31.0,0.6521739130434783,prune_10,ET,sub-0081
27,41.0,0.9667363026479878,prune_10,ET,sub-0081
28,42.0,0.25,prune_10,ET,sub-0081
29,43.0,0.9427791771620487,prune_10,ET,sub-0081
30,44.0,0.8782505910165485,prune_10,ET,sub-0081
31,46.0,0.895411488659077,prune_10,ET,sub-0081
32,47.0,0.9307877109758332,prune_10,ET,sub-0081
33,1027.0,0.8211365175269545,prune_10,ET,sub-0081
34,49.0,0.9384325299229382,prune_10,ET,sub-0081
35,50.0,0.8965214115283184,prune_10,ET,sub-0081
36,51.0,0.9186588016144055,prune_10,ET,sub-0081
37,52.0,0.8753701875616979,prune_10,ET,sub-0081
38,53.0,0.9193150684931507,prune_10,ET,sub-0081
39,54.0,0.8876923076923077,prune_10,ET,sub-0081
40,58.0,0.8202247191011236,prune_10,ET,sub-0081
41,60.0,0.8672920402814182,prune_10,ET,sub-0081
